player,team,game_id,prop_type,line,over_odds,under_odds,sportsbook,player_id,player_position,player_jersey,opponent,game_date,game_time,event_status,home_team,away_team,market_id,market_name,participant_id,consensus_line,consensus_over_odds,consensus_under_odds,opening_line,opening_odds,opening_book,opening_time,expert_over_picks,expert_under_picks,system_over_picks,system_under_picks,last_5_over,last_5_under,season_over,season_under,h2h_over,h2h_under,projected_value,projected_probability,projected_ev,bet_rating,line_diff,opp_rank,opp_value,timestamp,url
Aaron Gordon,DEN,23630,pra,6.5,110,-145,dk,,F,32,,,,closed,,,157,,2850,6.5,110,-140,6.5,112,10,2023-10-20 04:12:02,0,0,19,19,3,2,41,42,8,8,6.2,0.57421323058852,-0.029777644867673037,2,-0.3,19,44.2,,
Jamal Murray,DEN,23630,pra,4.5,110,-140,dk,,G,27,,,,closed,,,157,,3171,4.5,110,-145,3.5,-138,10,2023-10-20 04:12:03,0,0,19,19,1,4,27,41,10,6,4.2,0.58982702131058,0.011132036532422784,3,-0.3,19,44.2,,
Josh Okogie,PHO,23631,pra,3.5,100,-130,dk,,G,2,,,,closed,,,157,,3511,3.5,102,-135,3.5,116,10,2023-10-24 20:11:39,0,0,22,22,0,0,5,10,1,2,3.8,0.5265151567403,0.053030313480600055,3,0.3,13,43.0,,
LeBron James,LAL,23630,stl,0.5,-200,155,dk,,F,23,,,,closed,,,160,,2239,0.5,-204,155,0.5,-200,12,2023-10-20 22:11:50,0,0,13,13,5,0,51,21,13,2,0.8,0.55067103588278,-0.17399344617583,1,0.3,10,7.0,,
Kentavious Caldwell-Pope,DEN,23630,stl,1.5,160,-205,dk,,G,3,,,,closed,,,160,,2802,1.5,155,-200,1.5,170,12,2023-10-20 22:11:51,0,0,13,13,1,4,30,55,6,7,1.2,0.66262726620684,-0.014139921009335643,2,-0.3,23,8.1,,
D'Angelo Russell,LAL,23630,stl,0.5,-135,105,dk,,G,1,,,,closed,,,160,,3013,0.5,-145,110,0.5,-140,12,2023-10-20 23:12:01,0,0,13,13,3,2,43,27,6,7,0.8,0.55067103588278,-0.04142449309293855,2,0.3,10,7.0,,
Chris Paul,GSW,23631,stl,1.5,135,-170,dk,,G,3,,,,closed,,,160,,2307,1.5,130,-170,1.5,130,12,2023-10-20 23:12:02,0,0,14,14,1,4,18,29,2,1,1.2,0.66262726620684,0.05240801103439291,3,-0.3,26,8.3,,
Stephen Curry,GSW,23631,3pm,4.5,-110,-115,dk,,G,30,,,,closed,,,162,,2135,4.5,-115,-115,4.5,-138,10,2023-10-20 06:11:39,2,2,45,45,4,1,39,36,2,5,4.2,0.58982702131058,0.10272008331977989,4,-0.3,18,13.1,,
Kentavious Caldwell-Pope,DEN,23630,to,13.5,-105,-120,dk,,G,3,,,,closed,,,336,,2802,13.5,-105,-120,13.5,-110,12,2023-10-20 22:11:50,0,0,18,18,2,3,32,53,7,4,13.2,0.54307382361211,-0.004364656711131676,2,-0.3,22,161.0,,
Aaron Gordon,DEN,23630,pa,23.5,100,-125,dk,,F,32,,,,closed,,,338,,2850,23.5,-105,-125,22.5,-125,12,2023-10-20 22:11:51,3,3,67,67,3,2,46,37,7,6,23.8,0.50636300131072,0.012726002621439969,3,0.3,24,189.3,,
